id,中文,中文
301205harm_desc,当URI参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当URI参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301205suggest,可根据自身对URI段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义URI大小，一般不超过2048,可根据自身对URI段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义URI大小，一般不超过2048
301206name,Host溢出,Host溢出
301206harm_desc,当Host参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当Host参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301206suggest,可根据自身对Host段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Host大小，一般不超过2048,可根据自身对Host段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Host大小，一般不超过2048
301207name,Referer溢出,Referer溢出
301207harm_desc,当Referer参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当Referer参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301207suggest,可根据自身对Referer段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Referer大小，一般不超过2048,可根据自身对Referer段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Referer大小，一般不超过2048
301208name,Authorization溢出,Authorization溢出
301208harm_desc,当Authorization参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当Authorization参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301208suggest,可根据自身对Authorization字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Authorization大小，一般不超过2048,可根据自身对Authorization字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Authorization大小，一般不超过2048
301209name,Poxy-Authorization溢出,Poxy-Authorization溢出
301209harm_desc,当Poxy-Authorization参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当Poxy-Authorization参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301209suggest,可根据自身对Poxy-Authorization字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Poxy-Authorization大小，一般不超过2048,可根据自身对Poxy-Authorization字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义Poxy-Authorization大小，一般不超过2048
301210name,User-Agent溢出,User-Agent溢出
301210harm_desc,当User-Agent参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的,当User-Agent参数过长超出服务器缓存接收的范围便会导致溢出，攻击者通常会在溢出部分添加自己的代码达到攻击目的
301210suggest,可根据自身对User-Agent字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义User-Agent大小，一般不超过2048,可根据自身对User-Agent字段的数据需求到waf界页面的安全管理的HTTP防溢出设置里自定义User-Agent大小，一般不超过2048
900032name,检测http请求参数是否发生参数污染(Http Parameter Pollution),检测http请求参数是否发生参数污染(Http Parameter Pollution)
900032harm_desc,这个漏洞由S. di Paola 与L. Caret Toni在2009年的OWASP上首次公布。这也是一种注入型的漏洞，攻击者通过在HTTP请求中插入特定的参数来发起攻击。如果Web应用中存在这样的漏洞，可以被攻击者利用来进行客户端或者服务器端的攻击。,这个漏洞由S. di Paola 与L. Caret Toni在2009年的OWASP上首次公布。这也是一种注入型的漏洞，攻击者通过在HTTP请求中插入特定的参数来发起攻击。如果Web应用中存在这样的漏洞，可以被攻击者利用来进行客户端或者服务器端的攻击。
900032suggest,要防止这种漏洞，除了要做好对输入参数的格式验证外，另外还需要意识到HTTP协议是允许同名的参数的，在整个应用的处理过程中要意识到这一点从而根据业务的特征对这样的情况作正确的处理。,要防止这种漏洞，除了要做好对输入参数的格式验证外，另外还需要意识到HTTP协议是允许同名的参数的，在整个应用的处理过程中要意识到这一点从而根据业务的特征对这样的情况作正确的处理。
900033name,检测是否发生web攻击（Bayes Analysis),检测是否发生web攻击（Bayes Analysis)
900033harm_desc,　　用户可能会执行与Web服务器权限外的任意系统命令,　　用户可能会执行与Web服务器权限外的任意系统命令
900033suggest,建议在web服务器对用户输入的数据进行过滤,建议在web服务器对用户输入的数据进行过滤
900034name,执行bayes_check_spam.lua脚本（Bayes Analysis),执行bayes_check_spam.lua脚本（Bayes Analysis)
900034harm_desc,,
900034suggest,,
900035name,检测异常分数是否为0（Bayes Analysis),检测异常分数是否为0（Bayes Analysis)
900035harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。
900035suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。
900036name,检测异常分数是否大于0（IP Forensics),检测异常分数是否大于0（IP Forensics)
900036harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。
900036suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。
900037name,检测hostname（IP Forensics）,检测hostname（IP Forensics）
900037harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。
900037suggest,建议web服务器记录下每次访问的用户的域名。,建议web服务器记录下每次访问的用户的域名。
900038name,检测异常分数是否大于0（IP Forensics),检测异常分数是否大于0（IP Forensics)
900038harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。
900038suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。
900039name,检测事务处理异常分数是否大于0（IP Forensics),检测事务处理异常分数是否大于0（IP Forensics)
900039harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。
900039suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。
900040name,检测请求方法是GET或HEAD的请求是否有参数及以文件扩展名结束(Ignore Static),检测请求方法是GET或HEAD的请求是否有参数及以文件扩展名结束(Ignore Static)
900040harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。
900040suggest,,
900041name,初始化动作为允许访问，跳过静态内容检测规则(Ignore Static),初始化动作为允许访问，跳过静态内容检测规则(Ignore Static)
900041harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。
900041suggest,,
900042name,检测请求文件名（以jpeg、png、gif及ico扩展名结尾的图片文件）(Ignore Static),检测请求文件名（以jpeg、png、gif及ico扩展名结尾的图片文件）(Ignore Static)
900042harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。
900042suggest,,
900043name,检测请求文件名（以doc、pdf、txt及xls扩展名结尾的文本文件）(Ignore Static),检测请求文件名（以doc、pdf、txt及xls扩展名结尾的文本文件）(Ignore Static)
900043harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。
900043suggest,,
900044name,检测anomaly score数值(Header Tagging),检测anomaly score数值(Header Tagging)
900044harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。
900044suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。
900045name,检测请求头部分是否匹配发出异常事件规则(Header Tagging),检测请求头部分是否匹配发出异常事件规则(Header Tagging)
900045harm_desc,攻击者会利用使响应头缺失 Cache-Control头的请求访问服务器。,攻击者会利用使响应头缺失 Cache-Control头的请求访问服务器。
900045suggest,建议web服务器把响应头缺失 Cache-Control头的应答过滤了。,建议web服务器把响应头缺失 Cache-Control头的应答过滤了。
900046name,检测全局参数cache-control值以及响应头部Cache-Control字段(Application Defects),检测全局参数cache-control值以及响应头部Cache-Control字段(Application Defects)
900046harm_desc,攻击者会利用使响应头缺失 Cache-Control头的请求访问服务器。,攻击者会利用使响应头缺失 Cache-Control头的请求访问服务器。
900046suggest,建议web服务器把响应头缺失 Cache-Control头的应答过滤了。,建议web服务器把响应头缺失 Cache-Control头的应答过滤了。
900047name,初始化XSS攻击防护动作为“继续处理”，并设置相关参数(Application Defects),初始化XSS攻击防护动作为“继续处理”，并设置相关参数(Application Defects)
900047harm_desc,,
900047suggest,,
900048name,检测请求体中是否包含恶意的Meta-Characters(Application Defects),检测请求体中是否包含恶意的Meta-Characters(Application Defects)
900048harm_desc,攻击者会利用请求中带有恶意的没有编码说明的元字符的请求访问服务器。,攻击者会利用请求中带有恶意的没有编码说明的元字符的请求访问服务器。
900048suggest,建议web服务器带有恶意的没有编码说明的元字符的请求过滤了。,建议web服务器带有恶意的没有编码说明的元字符的请求过滤了。
910006name,检测请求头中User-Agent的内容(Google爬虫)（Marketing),检测请求头中User-Agent的内容(Google爬虫)（Marketing)
910006harm_desc,攻击者会使用GOOGLE爬虫访问服务器。,攻击者会使用GOOGLE爬虫访问服务器。
910006suggest,建议web服务器把请求user-agent头内容匹配(?:(?:gsa-crawler \(enterprise; s4-e9lj2b82fjjaa; me\@mycompany\.com|adsbot-google \(\+http:\/\/www\.google\.com\/adsbot\.html)\)|\b(?:google(?:-sitemaps|bot)|mediapartners-google)\b)正则表达式的请求过滤了。,建议web服务器把请求user-agent头内容匹配(?:(?:gsa-crawler \(enterprise; s4-e9lj2b82fjjaa; me\@mycompany\.com|adsbot-google \(\+http:\/\/www\.google\.com\/adsbot\.html)\)|\b(?:google(?:-sitemaps|bot)|mediapartners-google)\b)正则表达式的请求过滤了。
910007name,检测请求头中User-Agent的内容(Yahoo爬虫)（Marketing),检测请求头中User-Agent的内容(Yahoo爬虫)（Marketing)
910007harm_desc,攻击者会使用YAHOO爬虫访问服务器。,攻击者会使用YAHOO爬虫访问服务器。
910007suggest,建议web服务器把请求user-agent头内容匹配\byahoo(?:-(?:mmcrawler|blogs)|! slurp)\b正则表达式的请求过滤了。,建议web服务器把请求user-agent头内容匹配\byahoo(?:-(?:mmcrawler|blogs)|! slurp)\b正则表达式的请求过滤了。
910008name,检测请求头中User-Agent的内容(Msn爬虫)（Marketing),检测请求头中User-Agent的内容(Msn爬虫)（Marketing)
910008harm_desc,攻击者会使用MSN爬虫访问服务器。,攻击者会使用MSN爬虫访问服务器。
910008suggest,建议web服务器把请求user-agent头内容匹配msn(?:bot|ptc)正则表达式的请求过滤了。,建议web服务器把请求user-agent头内容匹配msn(?:bot|ptc)正则表达式的请求过滤了。
920005name,根据用户输入数据（日志及审查），检测已知信用卡类型（MasterCard信用卡号）（CC_Known),根据用户输入数据（日志及审查），检测已知信用卡类型（MasterCard信用卡号）（CC_Known)
920005harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。"
920005suggest,建议对请求包参数中带有匹配(?:^|[^\d])(5[1-5]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的请求谨慎处理。（MasterCard信用卡号码）,建议对请求包参数中带有匹配(?:^|[^\d])(5[1-5]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的请求谨慎处理。（MasterCard信用卡号码）
920006name,根据用户输出数据（响应体及响应头），检测已知信用卡类型（MasterCard信用卡号）（CC_Known),根据用户输出数据（响应体及响应头），检测已知信用卡类型（MasterCard信用卡号）（CC_Known)
920006harm_desc,响应头和响应体中带有MasterCard信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,响应头和响应体中带有MasterCard信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。
920006suggest,建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)(5[1-5]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的应答进行限制。（MasterCard）",建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)(5[1-5]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的应答进行限制。（MasterCard）"
920007name,根据用户输入数据（日志及审查），检测已知信用卡类型（Visa信用卡号）（CC_Known),根据用户输入数据（日志及审查），检测已知信用卡类型（Visa信用卡号）（CC_Known)
920007harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。"
920007suggest,建议对请求包参数中带有匹配(?:^|[^\d])(4\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d(?:\d{3})??)(?:[^\d]|$)正则表达式的请求谨慎处理。（Visa信用卡号码）,建议对请求包参数中带有匹配(?:^|[^\d])(4\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d(?:\d{3})??)(?:[^\d]|$)正则表达式的请求谨慎处理。（Visa信用卡号码）
920008name,根据用户输出数据（响应体及响应头），检测信用卡类型（Visa信用卡号）（CC_Known),根据用户输出数据（响应体及响应头），检测信用卡类型（Visa信用卡号）（CC_Known)
920008harm_desc,响应头和响应体中带有Visa信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,响应头和响应体中带有Visa信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。
920008suggest,建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)(4\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d(?:\d{3})??)(?:[^\d]|$)正则表达式的应答进行限制。（Visa）",建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)(4\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d(?:\d{3})??)(?:[^\d]|$)正则表达式的应答进行限制。（Visa）"
920009name,根据用户输入数据（日志及审查），检测已知信用卡类型（American Express信用卡号）（CC_Known),根据用户输入数据（日志及审查），检测已知信用卡类型（American Express信用卡号）（CC_Known)
920009harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。"
920009suggest,建议对请求包参数中带有匹配(?:^|[^\d])(3[47]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的请求谨慎处理。（American Express信用卡号码）,建议对请求包参数中带有匹配(?:^|[^\d])(3[47]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的请求谨慎处理。（American Express信用卡号码）
920010name,根据用户输出数据（响应体及响应头），检测已知信用卡类型（American Express信用卡号）（CC_Known),根据用户输出数据（响应体及响应头），检测已知信用卡类型（American Express信用卡号）（CC_Known)
920010harm_desc,响应头和响应体中带有American Express信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,响应头和响应体中带有American Express信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。
920010suggest,建议对响应包中出现匹配 (?:^|[^\d])(?<!google_ad_client = \pub-)(3[47]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的应答进行限制。（American Express）",建议对响应包中出现匹配 (?:^|[^\d])(?<!google_ad_client = \pub-)(3[47]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的应答进行限制。（American Express）"
920011name,根据用户输入数据（日志及审查），检测已知信用卡类型（Diners Club信用卡号）（CC_Known),根据用户输入数据（日志及审查），检测已知信用卡类型（Diners Club信用卡号）（CC_Known)
920011harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。"
920011suggest,建议对请求包参数中带有匹配(?:^|[^\d])((?:30[0-5]|3[68]\d)\d\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{2})(?:[^\d]|$)正则表达式的请求谨慎处理。（Diners Club信用卡号码）,建议对请求包参数中带有匹配(?:^|[^\d])((?:30[0-5]|3[68]\d)\d\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{2})(?:[^\d]|$)正则表达式的请求谨慎处理。（Diners Club信用卡号码）
920012name,根据用户输出数据（响应体及响应头），检测已知信用卡类型（Diners Club信用卡号）（CC_Known),根据用户输出数据（响应体及响应头），检测已知信用卡类型（Diners Club信用卡号）（CC_Known)
920012harm_desc,响应头和响应体中带有Diners Club信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,响应头和响应体中带有Diners Club信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。
920012suggest,建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)((?:30[0-5]|3[68]\d)\d\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{2})(?:[^\d]|$)正则表达式的应答进行限制。（Diners Club）",建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)((?:30[0-5]|3[68]\d)\d\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{2})(?:[^\d]|$)正则表达式的应答进行限制。（Diners Club）"
920015name,根据用户输入数据（日志及审查），检测已知信用卡类型（Discover信用卡号）（CC_Known),根据用户输入数据（日志及审查），检测已知信用卡类型（Discover信用卡号）（CC_Known)
920015harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。"
920015suggest,建议对请求包参数中带有匹配(?:^|[^\d])(6(?:011|5\d{2})\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的请求谨慎处理。（Discover信用卡号码）,建议对请求包参数中带有匹配(?:^|[^\d])(6(?:011|5\d{2})\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的请求谨慎处理。（Discover信用卡号码）
920016name,根据用户输出数据（响应体及响应头），检测已知信用卡类型（Discover信用卡号）（CC_Known),根据用户输出数据（响应体及响应头），检测已知信用卡类型（Discover信用卡号）（CC_Known)
920016harm_desc,响应头和响应体中带有Discover信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,响应头和响应体中带有Discover信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。
920016suggest,建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)(6(?:011|5\d{2})\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的应答进行限制。（Discover）",建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)(6(?:011|5\d{2})\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的应答进行限制。（Discover）"
920017name,根据用户输入数据（日志及审查），检测已知信用卡类型（JCB信用卡号）（CC_Known),根据用户输入数据（日志及审查），检测已知信用卡类型（JCB信用卡号）（CC_Known)
920017harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。"
920017suggest,建议对请求包参数中带有匹配(?:^|[^\d])(3\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|(?:1800|21(?:31|00))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的请求谨慎处理。（JCB信用卡号码）,建议对请求包参数中带有匹配(?:^|[^\d])(3\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|(?:1800|21(?:31|00))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的请求谨慎处理。（JCB信用卡号码）
920018name,根据用户输出数据（响应体及响应头），检测已知信用卡类型（JCB信用卡号）（CC_Known),根据用户输出数据（响应体及响应头），检测已知信用卡类型（JCB信用卡号）（CC_Known)
920018harm_desc,响应头和响应体中带有JCB信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,响应头和响应体中带有JCB信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。
920018suggest,建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)(3\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|(?:1800|21(?:31|00))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的应答进行限制。（JCB）",建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \pub-)(3\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|(?:1800|21(?:31|00))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的应答进行限制。（JCB）"
920019name,根据用户输入数据（日志及审查），检测已知信用卡类型（GSA SmartPay信用卡号）（CC_Known),根据用户输入数据（日志及审查），检测已知信用卡类型（GSA SmartPay信用卡号）（CC_Known)
920019harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。"
920019suggest,建议对请求包参数中带有匹配(?:^|[^\d])((?:5568|4(?:486|716))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|8699\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的请求谨慎处理。（GSA SmartPay信用卡号码）,建议对请求包参数中带有匹配(?:^|[^\d])((?:5568|4(?:486|716))\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4}|8699\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的请求谨慎处理。（GSA SmartPay信用卡号码）
920020name,根据用户输出数据（响应体及响应头），检测已知信用卡类型（GSA SmartPay信用卡号）（CC_Known),根据用户输出数据（响应体及响应头），检测已知信用卡类型（GSA SmartPay信用卡号）（CC_Known)
