id,中文,en-US
900032suggest,要防止这种漏洞，除了要做好对输入参数的格式验证外，另外还需要意识到HTTP协议是允许同名的参数的，在整个应用的处理过程中要意识到这一点从而根据业务的特征对这样的情况作正确的处理。,"To prevent this vulnerability, in addition to the format validation of the input parameters, you also need to be aware that the HTTP protocol allows parameters with the same name. During the processing of the entire application, you should be aware of this, so that according to the characteristics of the service Such a situation for the correct treatment."
900033name,"检测是否发生web攻击（Bayes Analysis)","WEB_ATTACK Detected"
900033desc,"如果发生web攻击，则记录日志，并执行bayes_train_spam.lua脚本（Bayes Analysis)","If a web attack occurs, record the log and execute the bayes_train_spam.lua script (Bayes Analysis)"
900033harm_desc,　　用户可能会执行与Web服务器权限外的任意系统命令,"Users may execute arbitrary system commands outside of the Web server's permissions"
900033suggest,建议在web服务器对用户输入的数据进行过滤,"It is recommended that the web server filter the data entered by the user"
900034name,"执行bayes_check_spam.lua脚本（Bayes Analysis)","Bayesian Analysis Detects Probable Attack."
900034desc,"执行bayes_check_spam.lua脚本，发生阻断（Bayes Analysis)","Execute the bayes_check_spam.lua script, and the request would be blocked (Bayes Analysis)"
900034harm_desc,,"Execution of bayes_check_spam.lua script, blocking occurred"
900034suggest,,
900035name,"检测异常分数是否为0（Bayes Analysis)","ANOMALY_SCORE Detected"
900035desc,"如果异常分数为0，则记录日志，并执行bayes_train_ham.lua脚本（Bayes Analysis)","If the anomaly score is 0, record the log and execute the bayes_train_ham.lua script (Bayes Analysis)"
900035harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,"Attacker frequent violations of the server operation, without measures to deal with, will lead to more serious consequences."
900035suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,"It is recommended that the web server set up a real-time blacklist mechanism and filter the request id of the high-frequency violation operation."
900036name,"检测异常分数是否大于0（IP Forensics)","ANOMALY_SCORE Detected"
900036desc,"如果异常分数大于0，则执行gather_ip_data.lua脚本，进行IP查找检测（IP Forensics)","If the anomaly score is greater than 0, execute the gather_ip_data.lua script to perform IP lookup detection (IP Forensics)"
900036harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,"Attacker frequent violations of the server operation, without measures to deal with, will lead to more serious consequences."
900036suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,"It is recommended that the web server set up a real-time blacklist mechanism and filter the request id of the high-frequency violation operation."
900037name,"检测hostname（IP Forensics）","Client Nslookup/WHOIS Abuse Info."
900037desc,"检测hostname，并记录日志（IP Forensics）","Detect hostname and record the log (IP Forensics)"
900037harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,"Attacker frequent violations of the server operation, without measures to deal with, will lead to more serious consequences."
900037suggest,建议web服务器记录下每次访问的用户的域名。,"It is recommended that the web server record the domain name of the user for each visit."
900038name,"检测异常分数是否大于0（IP Forensics)","Client Nslookup/WHOIS Abust Info."
900038desc,"如果异常分数大于0，则记录日志，日志内容为ip的hostname（IP Forensics)","If the anomaly score is greater than 0, record the log and the log content is ip's hostname (IP Forensics)"
900038harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,"Attacker frequent violations of the server operation, without measures to deal with, will lead to more serious consequences."
900038suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,"It is recommended that the web server set up a real-time blacklist mechanism and filter the request id of the high-frequency violation operation."
900039name,"检测事务处理异常分数是否大于0（IP Forensics)","Logging GeoIP Data due to anomaly score."
900039desc,"如果异常分数大于0，则记录日志，日志内容为GeoIP数据（IP Forensics)","If the anomaly score is greater than 0, record the log and the log content is GeoIP data (IP Forensics)"
900039harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,"Attacker frequent violations of the server operation, without measures to deal with, will lead to more serious consequences."
900039suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,"It is recommended that the web server set up a real-time blacklist mechanism and filter the request id of the high-frequency violation operation."
900040name,"检测请求方法是GET或HEAD的请求是否有参数及以文件扩展名结束(Ignore Static)","REQUEST_METHOD Detected"
900040desc,"如果请求方式是GET或HEAD，并且该请求没有带参数同时是以静态内容文件扩展名结尾的，则跳过该请求的检测(Ignore Static)","If the request method is GET or HEAD, and the request without parameters and end with a static content file extension, skip the detection of this request (Ignore Static)"
900040harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,"The attacker will upload all the files other than the media file to the server, the implementation of the attack."
900040suggest,,"Filters GET or HEAD requests with parameters and ends with a file extension"
900041name,"初始化动作为允许访问，跳过静态内容检测规则(Ignore Static)",END_STATIC_CONTENT_CHECK
900041desc,"初始化动作为允许访问，跳过静态内容检测规则(Ignore Static","Initialize action is to allow access, skip the static content detection rules (Ignore Static)"
900041harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,"The attacker will upload all the files other than the media file to the server, the implementation of the attack."
900041suggest,,"Initialization Action To allow access, skip static content detection rules"
900042name,"检测请求文件名（以jpeg、png、gif及ico扩展名结尾的图片文件）(Ignore Static)","REQUEST_FILENAME Detected"
900042desc,"如果请求文件名是以jpeg、png、gif及ico扩展名结尾的图片文件，则允许访问(Ignore Static)","Access is allowed if the requested file name is an image file ending with jpeg, png, gif and ico extension (Ignore Static)"
900042harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,"The attacker will upload all the files other than the media file to the server, the implementation of the attack."
900042suggest,,"Detection request file name (image file ending in jpeg, png, gif and ico extension)"
900043name,"检测请求文件名（以doc、pdf、txt及xls扩展名结尾的文本文件）(Ignore Static)","REQUEST_FILENAME Detected"
900043desc,"如果请求文件名是以doc、pdf、txt及xls扩展名结尾的文本文件，则允许访问并设置相关参数(Ignore Static)","Access is allowed and set related parameters if the requested file name is a text file ending with doc, pdf, txt and xls extension (Ignore Static)"
900043harm_desc,攻击者会利用媒体文件以外的一切文件上传到服务器，实施攻击。,"The attacker will upload all the files other than the media file to the server, the implementation of the attack."
900043suggest,,"Test request file name (text file ending in doc, pdf, txt and xls extension)"
900044name,"检测anomaly score数值(Header Tagging)","ANOMALY_SCORE Detected"
900044desc,"如果anomaly score数值为0，则跳过请求头标识规则(Header Tagging)","If the anomaly score value is 0, skip the request header tagging rules (Header Tagging)"
900044harm_desc,攻击者频繁的对服务器进行违规的操作，不加以措施应对，将会引起更为严重的后果。,"Attacker frequent violations of the server operation, without measures to deal with, will lead to more serious consequences."
900044suggest,建议web服务器设置实时黑名单机制，过滤高频违规操作的请求id。,"It is recommended that the web server set up a real-time blacklist mechanism and filter the request id of the high-frequency violation operation."
900045name,"检测请求头部分是否匹配发出异常事件规则(Header Tagging)","Header Tagging"
900045desc,"检测请求头部分是否匹配发出异常事件规则，若符合规则，则记录相应的异常记录值(Header Tagging)","Detect whether the request header is matched with the rule of sending an exception event. If the rule is matched, record the corresponding exception record value (Header Tagging)"
900045harm_desc,"攻击者会利用使响应头缺失 Cache-Control头的请求访问服务器。","An attacker accesses the server with a request that causes the response header to miss the Cache-Control header."
900045suggest,"建议web服务器把响应头缺失 Cache-Control头的应答过滤了。","It is recommended that the web server filter response headers that lack Cache-Control headers."
900046name,"检测全局参数cache-control值以及响应头部Cache-Control字段(Application Defects)","Cache-Control Response Header Missing \'no-store\' flag."
900046desc,"如果全局参数cache-control值少于等于10，则记录日志，如果响应头部的Cache-Control字段没有包含no-store，则设置相应的缓存参数值(Application Defects)","If the value of global parameter ""cache-control"" is less than or equal to 10, record the log. If the Cache-Control field of the response header does not contain no-store, set the corresponding cache parameter value (Application Defects)"
900046harm_desc,"攻击者会利用使响应头缺失 Cache-Control头的请求访问服务器。","An attacker accesses the server with a request that causes the response header to miss the Cache-Control header."
900046suggest,"建议web服务器把响应头缺失 Cache-Control头的应答过滤了。","It is recommended that the web server filter response headers that lack Cache-Control headers."
900047name,"初始化XSS攻击防护动作为“继续处理”，并设置相关参数(Application Defects)","Application Defects-XSS setting"
900047desc,"初始化XSS攻击防护动作为“继续处理”，并设置相关参数(Application Defects)","The initialize XSS attack protection action is to ""continue processing"", and set relevant parameters (Application Defects)"
900047harm_desc,,"Initialize the XSS attack protection action to ""continue processing"" and set related parameters"
900047suggest,,
900048name,"检测请求体中是否包含恶意的Meta-Characters(Application Defects)","Meta-Characters Detected"
900048desc,"如果请求体中含有恶意的Meta-Characters，则禁止访问，返回403错误，并记录日志(Application Defects)","If the request body contains malicious Meta-Characters, deny the access, return the 403 error and record the log (Application Defects)"
900048harm_desc,攻击者会利用请求中带有恶意的没有编码说明的元字符的请求访问服务器。,"An attacker can access the server with a request that contains a malicious, uncoded metacharacter."
900048suggest,建议web服务器带有恶意的没有编码说明的元字符的请求过滤了。,"It is recommended that the web server filter requests with malicious meta-characters that are not encoded."
910006name,检测请求头中User-Agent的内容(Google爬虫)（Marketing),"User-Agent Detected"
910006desc,如果请求头中User-Agent的内容符合google爬虫行为，则阻断（Marketing）,"If the content of User-Agent in the request header complies with the google crawler behavior, block the request (Marketing)"
910006harm_desc,攻击者会使用GOOGLE爬虫访问服务器。,"Attackers use the GOOGLE crawler to access the server."
910006suggest,"建议web服务器把请求user-agent头内容匹配(?:(?:gsa-crawler \(enterprise; s4-e9lj2b82fjjaa; me\@mycompany\.com|adsbot-google \(\+http:\/\/www\.google\.com\/adsbot\.html)\)|\b(?:google(?:-sitemaps|bot)|mediapartners-google)\b)正则表达式的请求过滤了。","It is recommended that the web server match the request user-agent header content (? :( ?: gsa-crawler \ (enterprise; s4-e9lj2b82fjjaa; me \ @mycompany \ .com | adsbot-google \ (\ + http: \ / \ www \ .google \ .com \ / adsbot \ .html) \) | \ b (?: google (?: - sitemaps | bot) | mediapartners-google) \ b) Requests for regular expressions are filtered."
910007name,检测请求头中User-Agent的内容(Yahoo爬虫)（Marketing),"User-Agent Detected"
910007desc,如果请求头中User-Agent的内容符合yahoo爬虫行为，则阻断（Marketing）,"If the content of User-Agent in the request header complies with the yahoo crawler behavior, block the request (Marketing)"
910007harm_desc,攻击者会使用YAHOO爬虫访问服务器。,"Attackers use the YAHOO crawler to access the server."
910007suggest,"建议web服务器把请求user-agent头内容匹配\byahoo(?:-(?:mmcrawler|blogs)|! slurp)\b正则表达式的请求过滤了。","It is recommended that the web server filter requests that request user-agent header content matches \ byahoo (?:-( ?: mmcrawler | blogs) |! Slurp) \ b regular expressions."
910008name,检测请求头中User-Agent的内容(Msn爬虫)（Marketing),"User-Agent Detected"
910008desc,如果请求头中User-Agent的内容符合Msn爬虫行为，则阻断（Marketing）,"If the content of User-Agent in the request header complies with the Msn crawler behavior, block the request (Marketing)"
910008harm_desc,攻击者会使用MSN爬虫访问服务器。,"Attackers use MSN crawlers to access the server."
910008suggest,建议web服务器把请求user-agent头内容匹配msn(?:bot|ptc)正则表达式的请求过滤了。,"It is recommended that the web server filter requests that request user-agent header matches msn (?: Bot | ptc) regular expressions."
920005name,根据用户输入数据（日志及审查），检测已知信用卡类型（MasterCard信用卡号）（CC_Known),"Credit card type Detected"
920005desc,从用户输入数据检测到MasterCard信用卡号，记录日志（CC_Known),"Detect the MasterCard credit card number from the user-input data and record the log (CC_Known)"
920005harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","In case of bank card number theft, GSA SmartPay, MasterCard, Visa, American Express, Diner Club, Discover, JCB and other credit card number information input processing, if the attacker stole the data is very dangerous, or even Use a series of messages to cheat."
920005suggest,"建议对请求包参数中带有匹配(?:^|[^\d])(5[1-5]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的请求谨慎处理。（MasterCard信用卡号码）","It is recommended that you have a match (?: ^ | [^ \ D]) (5 [1-5] \ d {2} \ -? \ D {4} \ -? \ D {2} \ - ? \ d {2} \ -? \ d {4}) (?: [^ \ d] | $) Regex requests are processed"
920006name,根据用户输出数据（响应体及响应头），检测已知信用卡类型（MasterCard信用卡号）（CC_Known),"Credit card type Detected"
920006desc,从网页到用户的输出数据检测到MasterCard信用卡号，记录日志（CC_Known),"Detect the MasterCard credit card number from the output data from web page to user and record the log (CC_Known)"
920006harm_desc,响应头和响应体中带有MasterCard信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,"In response to the number with the MasterCard credit card in the header and responder, the attacker attempted to steal the credit card-related information on the server."
920006suggest,"建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \"pub-)(5[1-5]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的应答进行限制。（MasterCard）","It is advisable to match (?: ^ | [^ \ D]) (? <! Google_ad_client = \ pub -) (5 [1-5] \ d {2} \ -? \ D {4} \ - ? \ d {2} \ -? \ d {2} \ -? \ d {4}) (?: [^ \ d] | $) Restrictions on Regular Expressions"
920007name,根据用户输入数据（日志及审查），检测已知信用卡类型（Visa信用卡号）（CC_Known),"Credit card type Detected"
920007desc,从用户输入数据检测到Visa信用卡号，记录日志（CC_Known),"Detect the Visa credit card number from the user-input data and record the log (CC_Known)"
920007harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","In case of bank card number theft, GSA SmartPay, MasterCard, Visa, American Express, Diner Club, Discover, JCB and other credit card number information input processing, if the attacker stole the data is very dangerous, or even Use a series of messages to cheat."
920007suggest,"建议对请求包参数中带有匹配(?:^|[^\d])(4\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d(?:\d{3})??)(?:[^\d]|$)正则表达式的请求谨慎处理。（Visa信用卡号码）","It is advisable to match the request packet parameters with a match (?: ^ | [^ \ D]) (4 \ d {3} \ -? \ D {4} \ -? \ D {2} \ -? \ D {2 } \ -? \ d (?: \ d {3}) ??) (?: [^ \ d] | $) Regex requests are processed"
920008name,根据用户输出数据（响应体及响应头），检测信用卡类型（Visa信用卡号）（CC_Known),"Credit card type Detected"
920008desc,从网页到用户的输出数据检测到Visa信用卡号，记录日志（CC_Known),"Detect the Visa credit card number from the output data from web page to user and record the log (CC_Known)"
920008harm_desc,响应头和响应体中带有Visa信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,"In response to the number with Visa credit card in the header and responder, the attacker attempted to steal the credit card related information on the server."
920008suggest,"建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \"pub-)(4\d{3}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d(?:\d{3})??)(?:[^\d]|$)正则表达式的应答进行限制。（Visa）","It is recommended that the match (?: ^ | [^ \ D]) (? <! Google_ad_client = \ pub -) (4 \ d {3} \ -? \ D {4} \ -? \ D {2 } \ -? \ d {2} \ -? \ d (?: \ d {3}) ??) (?: [^ \ d] | $) Restrictions on regular expressions"
920009name,"根据用户输入数据（日志及审查），检测已知信用卡类型（American Express信用卡号）（CC_Known)","Credit card type Detected"
920009desc,"从用户输入数据检测到American Express信用卡号，记录日志（CC_Known)","Detect the American Express credit card number from the user-input data and record the log (CC_Known)"
920009harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","In case of bank card number theft, GSA SmartPay, MasterCard, Visa, American Express, Diner Club, Discover, JCB and other credit card number information input processing, if the attacker stole the data is very dangerous, or even Use a series of messages to cheat."
920009suggest,"建议对请求包参数中带有匹配(?:^|[^\d])(3[47]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的请求谨慎处理。（American Express信用卡号码）","It is recommended to match the request packet with a match (?: ^ | [^ \ D]) (3 [47] \ d {2} \ -? \ D {4} \ -? \ D {2} d {2} \ -? \ d {3}) (?: [^ \ d] | $) Regex requests are processed"
920010name,"根据用户输出数据（响应体及响应头），检测已知信用卡类型（American Express信用卡号）（CC_Known)","Credit card type Detected"
920010desc,"从网页到用户的输出数据检测到American Express信用卡号，记录日志（CC_Known)","Detect the American Express credit card number from the output data from web page to user and record the log (CC_Known)"
920010harm_desc,"响应头和响应体中带有American Express信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。","In response to a number with an American Express credit card in the header and responder, the attacker attempted to steal the credit card-related information on the server."
920010suggest,"建议对响应包中出现匹配 (?:^|[^\d])(?<!google_ad_client = \"pub-)(3[47]\d{2}\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{3})(?:[^\d]|$)正则表达式的应答进行限制。（American Express）","It is advisable to match (?: ^ | [^ \ D]) (? <! Google_ad_client = \ pub -) (3 [47] \ d {2} \ -? \ D {4} \ -? \ d {2} \ -? \ d {2} \ -? \ d {3}) (?: [^ \ d] | $) Restrictions on regular expressions"
920011name,"根据用户输入数据（日志及审查），检测已知信用卡类型（Diners Club信用卡号）（CC_Known)","Credit card type Detected"
920011desc,"从用户输入数据检测到Diners Club信用卡号，记录日志（CC_Known)","Detect the Diners Club credit card number from the user-input data and record the log (CC_Known)"
920011harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","In case of bank card number theft, GSA SmartPay, MasterCard, Visa, American Express, Diner Club, Discover, JCB and other credit card number information input processing, if the attacker stole the data is very dangerous, or even Use a series of messages to cheat."
920011suggest,"建议对请求包参数中带有匹配(?:^|[^\d])((?:30[0-5]|3[68]\d)\d\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{2})(?:[^\d]|$)正则表达式的请求谨慎处理。（Diners Club信用卡号码）","It is advisable to match (?: ^ | [^ \ d]) (?: 30 [0-5] | 3 [68] \ d) \ d \ -? \ D {4} \ - ? \ d {2} \ -? \ d {2} \ -? \ d {2}) (?: [^ \ d] | $) Regex requests are processed"
920012name,"根据用户输出数据（响应体及响应头），检测已知信用卡类型（Diners Club信用卡号）（CC_Known)","Credit card type Detected"
920012desc,"从网页到用户的输出数据检测到Diners Club信用卡号，记录日志（CC_Known)","Detect the Diners Club credit card number from the output data from web page to user and record the log (CC_Known)"
920012harm_desc,"响应头和响应体中带有Diners Club信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。","In response to a number with an Diners Club credit card in the header and responder, the attacker attempted to steal the credit card-related information on the server."
920012suggest,"建议对响应包中出现匹配(?:^|[^\d])(?<!google_ad_client = \"pub-)((?:30[0-5]|3[68]\d)\d\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{2})(?:[^\d]|$)正则表达式的应答进行限制。（Diners Club）","It is advisable to match (?: ^ | [^ \ D]) (? <! Google_ad_client = \ pub -) (?: 30 [0-5] | 3 [68] \ d) \ d \ - ? \ d {4} \ -? \ d {2} \ -? \ d {2} \ -? \ d {2}) (?: [^ \ d] | $) Restrictions on regular expressions"
920015name,根据用户输入数据（日志及审查），检测已知信用卡类型（Discover信用卡号）（CC_Known),"Credit card type Detected"
920015desc,从用户输入数据检测到Discover信用卡号，记录日志（CC_Known),"Detect the Discover credit card number from the user-input data and record the log (CC_Known)"
920015harm_desc,"如果发生银行卡卡号密码盗窃行为，会存在GSA SmartPay,MasterCard,Visa,American Express,Diner Club,Discover,JCB等信用卡卡号信息的输入处理，如果攻击者窃取了这些数据是非常的危险的，甚至会利用一系列信息进行欺诈。","In case of bank card number theft, GSA SmartPay, MasterCard, Visa, American Express, Diner Club, Discover, JCB and other credit card number information input processing, if the attacker stole the data is very dangerous, or even Use a series of messages to cheat."
920015suggest,"建议对请求包参数中带有匹配(?:^|[^\d])(6(?:011|5\d{2})\-?\d{4}\-?\d{2}\-?\d{2}\-?\d{4})(?:[^\d]|$)正则表达式的请求谨慎处理。（Discover信用卡号码）","It is recommended to match the request packet with a match (?: ^ | [^ \ D]) (6 (?: 011 | 5 \ d {2}) -? \ D {4} \ -? \ D {2} \ -? \ d {2} \ -? \ d {4}) (?: [^ \ d] | $) Regex requests are processed"
920016name,根据用户输出数据（响应体及响应头），检测已知信用卡类型（Discover信用卡号）（CC_Known),"Credit card type Detected"
920016desc,从网页到用户的输出数据检测到Discover信用卡号，记录日志（CC_Known),"Detect the Discover credit card number from the output data from web page to user and record the log (CC_Known)"
920016harm_desc,响应头和响应体中带有Discover信用卡的号码，攻击者企图在服务器上窃取该信用卡相关资料。,"In response to a number with an Discover credit card in the header and responder, the attacker attempted to steal the credit card-related information on the server."
