id,中文,en-US
506,黑名单,"Black list"
507,白名单,"White list"
508,源,Source
509,目标,Target
510,目标端口,"Target port"
511,执行动作,"Executed action"
512,源端口,"Source port"
513,地理位置,"Geographical location"
514,未知,Unkown
515,"该名单已存在,不需要添加","The name list already exists, no need to add."
516,添加黑名单,"Add blacklist"
517,添加白名单,"Add white list"
518,检测端口,"Detect port"
519,"点击""生成技术支持包""按钮,将生成可下载的技术支持包文件","Click ""Generate technical support package"" to generate a downloadable Support Package file"
520,生成技术支持包,"Generate technical support package"
521,定时报表,"Regular report"
522,访问/流量报表,"Access/traffic report"
523,添加自定义规则,"Add user defined rule"
524,修改自定义规则,"Modify user defined rule"
525,规则模板名称,"Rule template name"
526,继承模板,"Inheritance template"
527,继承模板名称,"Inheritance template name"
528,模板类型,"Template type"
529,站点组模板,"Site group template"
530,站点模板,"Site template"
531,"选择了模板类型为站点模板,但没有选择所属站点组模板","Template type is selected as the site template, but the site template of group is not selected"
532,添加规则模板,"Add rule template"
533,修改规则模板,"Modify rule template"
534,模板名称,"Template name"
535,模板说明,"Template instruction"
536,所属站点组模板,"Affiliated site group template"
537,最大长度,"Max length"
538,参数名称最大长度,"Max length of parameter name"
539,参数最大长度,"Max length of parameter"
540,最大参数个数,"Max number of parameter"
541,最大个数,"Max number"
542,以上各项当填写数值为0时，则该项设置不生效,"If the above fields are filled in with 0, then the setting is invalid."
543,建议学习完毕后关闭,"It is suggested to close it after learning is finished."
544,是否应用学习结果,"Whether to apply learning results"
545,选择数据,"Select data"
546,选中数据为空,"Selected data is empty"
547,删除数据,"Delete data"
548,停用数据,"Disable data"
549,敏感词过滤,"Sensitive word filtering"
550,将对设置的敏感词以*号代替,"Use * to replace the set sensitive word"
551,"词与词之间用""|""隔开","Use ""|"" between words"
552,隐藏类型,"Hide type"
553,监控目标,"Monitoring target"
554,最近执行时间,"Latest execution time"
555,响应时间,"Response time"
556,无数据,"No data available"
557,系统错误,"System error"
558,正常,Normal
559,小时,Hour
560,分钟,Minute
561,查看报告,"Check report"
562,时间范围,"Time frame"
563,响应时间分布,"Response time distribution"
564,响应时间(毫秒),"Response time (millisecond)"
565,监控目标URL状态,"Monitor target URL status"
566,智能阻断,"Intelligent blocking"
567,定值300秒,"Set 300 seconds"
568,不少于10次(单位:次),"Not less than 10 times (Unit: times)"
569,基准阻断时间,"Benchmark blocking time"
570,不少于600秒(单位:秒),"Not less than 600 seconds (Unit: second)"
571,攻击时间,"Attack time"
572,阻断持续时间(单位:秒),"Blocking duration time(unit: second)"
573,将对该类爬虫实施防护,"Protected against crawler"
574,爬虫类型,"Crawler type"
575,公司名称,"Company name"
576,公司地址,"Company address"
577,许可证文件,"Licence file"
578,文件仅部分被上传,"Only part of file is uploaded"
579,只允许上传,"Only allow to upload"
580,格式的文件,"Format file"
581,IP+子网掩码,"IP + subnet mask"
582,IP或IP段已存在,"IP or IP segment exists"
583,"ip地址不合法,例:192.168.1.1","Illegal IP address, such as 192.168.1.1"
584,"ip和子网掩码不合法,例:192.168.1.0/24","Illegal IP and subnet mask, such as 192.168.1.0/24"
585,验证码错误,"Verification code error"
586,无此用户或禁止此用户登录,"This user doesnˇt exist or is banned from login."
587,此用户禁止登录,"This user is banned from login."
588,登录成功,"Login succeeded"
589,登录失败,"Login failed"
590,登录超时时间(分钟),"Login timeout(minute)"
591,登录尝试次数限制,"Limit login attempts"
592,登录错误锁定时间(分钟),"Login error lockout time (minutes)"
593,首页功能定制,"Home page function customization"
594,技术支持命令已发出,"Technical support order has been sent out."
595,升级成功,"Upgrade succeeded"
596,选择升级文件,"Select to upgrade file"
597,展开所有,"Open all"
598,闭合所有,"Close all"
599,是否删除此菜单,"Whether to delete this menu"
600,是否显示子菜单,"Whether to disply submenu"
601,访问路径,"Access path"
602,菜单名,"Menu name"
603,报告时间,"Report time"
604,上传时间,"Upload time"
605,站点URL,"Site URL"
606,文件分析结果-展示,"File analysis result - display"
607,删除的数据为空,"Deleted data is empty"
608,严重等级,"Serious level"
609,报告,Report
610,扫描,Scan
611,未扫描,"Not scan"
612,扫描中,"Is scanning"
613,扫描失败,"Scanning failed"
614,扫描地址,"Scanning address"
615,填写真实有效的扫描地址,"Fill in real and valid scanning address."
616,否则无法进行扫描,"Otherwise scanning cannot be performed."
617,扫描结果不存在,"Scanning results do not exist."
618,SSH开关设置,"SSH switch setting"
619,站点组,"Site group"
620,规则模板,"Rule template"
621,站点数量,"Number of sites"
622,"所选站点组中,有对应的站点,不能删除","Among selected site group, there is corresponding site, which cannot be deleted."
623,参数错误,"Parameter error"
624,保存失败,"Fail to save"
625,站点,Site
626,端口,Port
627,站点组名称,"Site group name"
628,策略模板,"Policy template"
629,单独策略模板,"Single policy template"
630,是否反向代理,"Whether to reverse proxy"
631,站点名错误,"Site name error"
632,端口错误,"Port error"
633,协议,Protocol
634,操作系统,"Operating system"
635,开发语言,"Development language"
636,更新时间,"Update time"
637,IP地址错误,"IP address error"
638,管道发送失败,"Channel sending failed"
639,添加站点组,"Add site group"
640,返回,Return
641,修改站点组,"Modify site group"
642,配置策略,"Configure policy"
643,站点策略规则优先级高于站点组策略规则,"Site policy rule priority is higher than site group policy rule."
644,根节点,"Root node"
645,所属站点,"Affiliated site"
646,地址及端口,"Address and port"
647,站点名称必须是IPV4地址或者是合法的域名,"Site name must be IPV4 address or legal domain name."
648,添加站点,"Add site"
649,修改站点,"Modify site"
650,规则,Rule
651,规则名称,"Rule name"
652,拦截方式,"Blocking way"
653,告警等级,"Alert level"
654,类别,Category
655,个规则集,"Rule set"
656,危害描述,"Danger description"
657,解决建议,"Solution suggestion"
658,网络超时,"Network timeout"
659,修改成功,"Successfully modified"
660,修改失败,"Modification failed"
661,操作成功,"Action succeeded"
662,更新失败,"Update failed"
663,删除失败,"Failed to delete"
664,已完成,Completed
665,已停止,Stopped
666,上传成功,"Upload successfully"
670,清除缓存,"Clear cache"
672,权限查看,"Privilege check"
673,授权信息,"Authorization information"
674,权限修改,"Privilege modification"
676,管理日志,"Management log"
677,系统日志,"System log"
678,编译器上传,"Compiler uploading"
681,日志配置,"Log config"
688,防火墙日志,"Firewall log"
689,入侵防御日志,"Intrusion prevention log"
690,安全策略,"Security policy"
691,web应用防护日志,"Web application protection log"
692,病毒防护日志,"Virus prevention log"
693,信息泄漏防护日志,"Information leakage prevention log"
694,DDOS防护日志,"DDOS prevention log"
695,应用管控日志,"Application management and control log"
696,url访问日志,"URL access log"
697,日志库,"Log library"
698,用户认证日志,"User authentication log"
699,网中网检测日志,"Subnet detection log"
700,IpsecVPN日志,"IpsecVPN log"
703,入侵防护,"Intrusion prevention"
705,清空,Clear
706,加入防误报,"Add anti false positive"
707,启动,Enable
708,入侵数量统计(当月),"Stastistics of intrusion quantity(current month)"
709,入侵类别统计(当月),"Stastistics of intrusion type(current month)"
710,产品信息,"Product information"
718,Bypass设置,"Bypass setting"
719,多语言,Multi-language
720,语言检测,"Language test"
721,导出语言包,"Export lanaguage package"
722,磁盘清理,"Disk clearing"
723,导入语言包,"Import lanaguage package"
724,语言KEY,"Language KEY"
725,检查翻译字符唯一,"Check uniqueness of translation character"
728,定期报表,"Regular report"
729,安全管理,"Security management"
730,HTTP请求动作过滤,"HTTP request action filtering"
731,HTTP请求内容过滤,"HTTP request content filtering"
732,服务器信息隐藏,"Server information hiding"
733,开启云防护,"Enable cloud protection"
734,测试菜单(不开放)日志,"Test menu(not open)log"
735,个人设置,"Personal setting"
736,开发人员使用,"For developers only"
737,菜单权限管理,"Menu privilege management"
738,获取单个权限信息,"Acquire single privilege information"
739,OCR拦截,"OCR blocking"
740,用户认证,"User authentication"
741,桥设备,"Bridge device"
742,防火墙,Firewall
743,透明代理,"Transparent proxy"
744,接入控制,"Access control"
745,反向代理,"Reverse proxy"
746,安全防护,"Security protection"
747,日志管理,"Log management"
748,日志任务,"Log task"
753,周期,Cycle
754,图片链接,"Image link"
783,桥设备名称,"Bridge device name"
786,桥的类型,"Bridge type"
787,确定,Confirm
788,取消,Cancel
789,确认新密码,"Conirm new password"
790,开启,Open
791,启用,Enable
792,全部记录,"All records"
793,所有,All
794,全选,"Select all"
795,全不选,"Select none"
796,日期,Date
797,日志,Log
798,紧急,Emergent
799,警报,Alert
800,严重,Serious
801,错误,Error
802,警告,Alert
803,确认密码不一致,"Conirmed password is inconsistent"
804,新密码不能为空,"New password must be filled"
805,KB/秒,KB/S
806,流量,Traffic
807,产品型号,"Product model"
808,系统版本,"System version"
809,规则版本,"Rule version"
810,产品序列号,"Product serial number"
811,引擎设置,"Engine setting"
812,默认拦截方式设置,"Setting of default blocking way"
813,"检测端口设置:指定要检测的端口,如有多个请用|隔开,不能以0开头.如","Detect port setting:Designate the port to be detected, if there are several, please use |to separate and don't begin with 0"
814,请在URL开始加上http://或https://,"Please add http://or https:// at URL"
815,清除菜单栏目,"Clear menu column"
816,清除所有缓存,"Clear all caches"
817,清除成功,"Clear successfully"
818,"启用后,来源IP地址的访问次数超过设定上限的.禁止该IP地址的任何后续访问","After being enabled, any subsequent access of the source IP address will be prohibited when access times of this IP address exceeds the limit"
819,请求次数上限,"Limit of request times"
820,"启用后,来源IP对目的URI的访问次数超过设定上限的.禁止该IP地址的任何后续访问","After being enabled, any subsequent access of the source IP address will be prohibited when access times of this IP address to target URI exceeds the limit"
821,"每行一条URI,可输入多行并确保uri正确. 例: /test.php（不用输入参数部分）","One URI for each line,and several lines can be input with URI right.For example:/test.php (there is no need to input parameter part.)"
822,"请填写 ""来源IP防CC"" 的相关参数","Please fill in relevant parameter about source IP against CC"
823,"请填写 ""特定URL防CC"" 的相关参数","Please fill in relevant parameter about specific URL against CC"
824,开启DDOS云防护,"Open DDOS cloud protection"
825,"其它TCP Flood触发阀值","Threshold to trigger other TCP Flood"
826,"其它TCP Flood阀值/单IP","Other TCP Flood threshold/single IP"
827,"禁止所有UDP协议的通信. (启用后所有使用UDP协议的通信将被禁止,包括使用UDP协议的DNS解释服务","Prohibit all UDP protocol's communication.(After being enabled, communication that uses UDP protocol will be prohibited, including DNS resolution service using UDP protocol)"
828,"禁止所有ICMP协议的通信. (启用后所有使用ICMP协议的通信将被禁止,包括使用ICMP协议的PING请求","Prohibit all ICMP protocol's communication.(After being enabled, communication that uses ICMP protocol will be prohibited, including PING request using ICMP protocol)"
829,"以上所有项请填写大于0的正整数,各项阀值建议不小于","For all the above spaces, please fill in positive integer greater than 0 and each threshold value is suggested to be not less than"
830,网络流量请填写1-1024以内的数值,"For network traffic, please fill in digit between 1 and 1024"
831,DDOS攻击,"DDOS attack"
832,恢复默认配置,"Restore default config"
833,"点击""恢复默认配置""按钮,恢复本设备默认配置","Click ""restore default config"" button to restore the default config of this device"
834,配置文件导入,"Config file import"
835,"选择备份文件,点击“导入配置”按钮恢复之前的配置","Select backup file, and click ""import config"" button to restore previous config"
836,导入配置,"Import config"
837,"点击""导出配置""按钮备份当前数据库配置","Click ""export config"" button to back up current database config"
838,"正在配置文件,请等待1-2分钟","It is configuring file, please wait 1 to 2 minutes…"
839,系统友情提示,"Kind notice of system"
840,"恢复默认配置后系统将重启,确认","After restoring default config, the system will be restarted to confirm"
841,正在配置文件，请等待1-2分钟...,"It is configuring file, please wait 1 to 2 minutes…"
842,恢复默认配置后系统将重启,"After restoring default config, the system will be restarted"
843,磁盘自动清理参数设置,"The disk will automatically clear parameter setting"
844,是否开启自动清理,"Whether to open automatic clearing"
845,超过设置百分比数值时将自动清除日志,"Log will be automatically cleared when it exceeds the set figure"
846,请先停用再修改,"Please disable first before modification"
847,无法获取上传文件信息,"Unable to acquire uploading file information"
848,确认文件可用,"Confirm the file to be available"
849,删除前先停用,"Disable first before deletion"
850,禁止请求的文件扩展名设置,"Disable setting of the requested file extension name"
851,请求的文件扩展名类型将被禁止,"The requested file extension name type will be prohibited"
852,VIP启用,"VIP enabled"
853,是否开启,"Whether to open"
854,桥接口,"Bridge interface"
855,允许HTTP请求内容,"Allow HTTP request content"
856,请求内容以外的将被拒绝,"What is beyond requested content will be rejected"
857,HTTP请求内容,"HTTP request content"
858,HTTP请求动作设置,"HTTP request action setting"
859,HTTP请求动作,"HTTP request action"
860,启用后,"After being enabled"
861,该HTTP请求动作将被允许,"This HTTP request action will be allowed"
862,请求的HTTP头字段将被禁止,"The requested HTTP header field will be prohibited"
863,以上所有项请填写大于0，小于2147483647的正整数,"For all the above spaces, please fill in positive integer greater than 0 but less than 2147483647"
864,请求的HTTP协议版本将被允许,"The requested HTTP protocol version will be allowed"
866,入侵日志,"Intrusion log"
867,匹配内容,"Matching content"
868,规则模板库找不到默认模板,"Default template can't be found in rule template library"
869,"所对应的站点不存在,请在""站点组管理""增加站点","The corresponding site doesn't exist, so please go to ""site group management"" to add"
870,开启入侵记录的E-mail功能,"Open the e-mail function of intrusion record"
871,开启入侵记录的短信报警功能,"Open SMS alert function of intrusion record"
872,发件人名称,"Sender's name"
873,发件人邮箱,"Sender's e-amil address"
874,"以该名称发送,格式为EMAIL(可以和发件人邮箱相同)","Send in this name and in EMAIL(it can be the same with sender's e-mail)"
875,发件人密码,"Sender's password"
876,SMTP服务器地址,"SMTP server address"
877,发送服务器,"Sending server"
878,SMTP服务器端口,"SMTP server port"
879,收件人邮箱,"Recipient's e-mail"
880,收件人手机号码,"Recipient's cell phone number"
881,"以上信息非常重要,请确保所填信息均无错误,否则无法发送/接收邮件、短信","All the above information is very important, and please ensure what you input is right, otherwise, it is unable to send/receive e-mamil and message"
882,是否启用,"Whether to enable"
884,精确查询,"Precise searching"
885,如,"Such as"
886,非法外联日志,"Illegal external connection log"
888,"提示:将根据当前的条件导出日志,最多导出最新的20000条记录","Tip: It will export log according to current condition and the latest 20000 records will be exported at most"
889,"指定要检测的端口,如有多个请用|隔开,不能以0开头. 如","Designate the port to be detected, and if there are several, please use |to separate and do not start with 0, for example"
890,"技术支持包是为了方便厂家排除系统故障的手段,当系统出现问题的时候,请生成技术支持包,并发送给我们","Technical support package is an approach to help manufacturer eliminate system fault. When system breaks down, please generate technical support package and send it to us"
891,正在压缩技术支持包文件，请等待1-2分钟,"It is compressing technical support package file, please wait 1 to 2 minutes"
892,"超出限制,请联系技术员解决","Beyond the limit, please contact technician to resolve"
893,站点组启用,"Site group enabled"
894,内容最大长度,"The max length of content"
895,启用自学习,"Enable self-learning"
896,启用访问白名单,"Enable access white list"
897,是否启用自学习,"Whether to enable self-learning"
898,是否启用访问白名单,"Whether to enable access white list"
899,启用数据,"Enable data"
900,敏感词内容,"Sensitive content"
901,隐藏服务器信息,"Hide server information"
902,监控频率,"Monitoring frequency"
903,"请填写真实有效的监控地址,否则无法进行扫描","Please write down real and effective monitoring address, otherwise, it is unable to scan"
904,定时监控频率,"Regular monitoring frequency"
905,"开启智能阻断(启用后,系统将根据设定条件,识别频繁攻击的来源IP地址,在一段时间内拒绝该IP地址的访问.)","After enabling intelligent blocking(after being enabled, the system will identify the source IP address that launches attack frequently according to set condition and reject access of this IP within a period )"
906,统计周期,"Statistical period"
907,入侵次数,"Intrusion times"
908,以上各项请按需求填写,"Please fill in the above spaces as required"
909,智能阻断日志,"Intelligently block log"
910,授权序列号,"Authorized serial number"
911,有效期,"Valid period"
912,选择有效期内的许可证文件,"Select license within valid period"
913,文件大小超出服务器空间大小,"File size exceeds server space"
914,文件大小超出浏览器限制,"File size exceeds browser limit"
915,服务器临时文件夹丢失,"Temporary folder of server is lost"
916,文件写入到临时文件夹出错,"Writing in file to temporary folder error"
917,请耐心等待授权认证,"Please be patient in waiting for authorization and authentication"
918,不启用黑白名单,"Do not enable blacklist and white list"
919,启用白名单,"Enable white list"
920,启用黑名单,"Enable blacklist"
921,IP区间,"IP range"
