id,中文,zh-CN
243,"Field Search","Field Search"
244,"Field Search Box","Field Search Box"
245,"Field Table","Field Table"
246,"Field Edit","Field Edit"
247,"Field Data","Field Data"
248,"Is Use","Is Use"
249,Interface,Interface
250,Vhid,Vhid
251,Password,Password
252,State,State
253,Ip,Ip
254,"Database Ip","Database Ip"
255,"Database Port","Database Port"
256,"Is Setting","Is Setting"
257,"Server ID","Server ID"
258,"Offset ID","Offset ID"
259,"Had Sync","Had Sync"
260,Bridge,Bridge
261,"Is Port Aggregation","Is Port Aggregation"
262,"Database Sync Status","Database Sync Status"
272,Secname,Secname
277,报表名称,报表名称
278,报表类型,报表类型
279,报表说明,报表说明
280,生成时间,生成时间
281,路径,路径
282,报表分类,报表分类
283,格式,格式
284,说明,说明
285,邮件通知,邮件通知
286,文件格式,文件格式
289,Different,Different
293,"Redirect ID","Redirect ID"
294,描述,描述
295,链接,链接
296,用户名,用户名
297,密码,密码
298,属组,属组
299,可用,可用
300,"Group ID","Group ID"
301,"Sys Menu ID","Sys Menu ID"
302,Enable,Enable
303,组别,组别
304,主键id,主键id
305,系统配置的键名,系统配置的键名
306,系统配置的键值,系统配置的键值
307,系统配置的描述,系统配置的描述
323,"Country Code","Country Code"
330,Referer,Referer
333,Url,Url
339,Rulefile,Rulefile
341,Rev,Rev
343,Tag,Tag
344,Code,Code
345,Province,Province
346,Area,Area
347,"En Country","En Country"
348,"Cn Country","Cn Country"
349,Continent,Continent
354,绑定设备列表,绑定设备列表
358,IPV4地址,IPV4地址
359,IPV4掩码,IPV4掩码
360,IPV6地址,IPV6地址
361,IPV6掩码,IPV6掩码
364,登录,登录
365,退出,退出
366,验证码,验证码
367,换一个,换一个
368,关闭,关闭
369,开始时间,开始时间
370,结束时间,结束时间
371,旧密码,旧密码
372,新密码,新密码
373,提交,提交
374,重置,重置
375,刷新,刷新
376,地址,地址
377,秒,秒
378,禁止,禁止
379,隐藏,隐藏
380,是,是
382,新增,新增
383,跳到,跳到
384,共,共
385,记录,记录
386,页,页
387,第一页,第一页
388,最后一页,最后一页
389,下页,下页
390,上页,上页
391,每页条数,每页条数
392,操作,操作
393,升级,升级
394,选择文件,选择文件
395,文件类型,文件类型
396,文件不存在,文件不存在
397,必填项,必填项
398,长度,长度
399,字节,字节
400,反选,反选
401,每天,每天
402,每周,每周
403,每月,每月
404,还原,还原
405,备注,备注
406,提示,提示
407,电子邮箱,电子邮箱
408,电话,电话
409,至,至
410,文件名,文件名
411,高,高
412,低,低
413,名称,名称
414,自定义,自定义
415,选择,选择
416,仅记录,仅记录
417,允许访问,允许访问
418,拒绝访问,拒绝访问
419,关闭链接,关闭链接
420,继续,继续
421,目的,目的
422,来源IP不合法,来源IP不合法
423,目标IP不合法,目标IP不合法
424,添加访问控制,添加访问控制
425,修改访问控制,修改访问控制
426,来源IP防CC,来源IP防CC
427,来源IP地址访问速率限制,来源IP地址访问速率限制
428,阻止访问时间,阻止访问时间
429,目的URI访问速率限制,目的URI访问速率限制
430,目的URI列表,目的URI列表
431,特定URI防CC,特定URI防CC
432,次,次
433,网络流量选择,网络流量选择
434,推荐阈值,推荐阈值
435,"系统根据选择的网络流量,推荐合理的阀值范围","系统根据选择的网络流量,推荐合理的阀值范围"
436,总流量触发阀值,总流量触发阀值
437,数据包/秒,数据包/秒
438,总流量阀值/单IP,总流量阀值/单IP
439,包触发阀值,包触发阀值
440,包阀值/单IP,包阀值/单IP
441,"SYN Flood触发阀值","SYN Flood触发阀值"
442,"SYN Flood阀值/单IP","SYN Flood阀值/单IP"
443,目标IP地址,目标IP地址
444,配置文件导出,配置文件导出
445,导出配置,导出配置
447,恢复配置成功,恢复配置成功
448,配置已应用,配置已应用
449,生成配置成功,生成配置成功
450,未知类型,未知类型
451,配置已完成,配置已完成
452,磁盘阀值,磁盘阀值
453,选择一行数据,选择一行数据
454,选择要删除的数据,选择要删除的数据
455,页面类型,页面类型
456,页面文件,页面文件
457,配置文字,配置文字
458,生效,生效
459,页面已存在,页面已存在
460,文件上传失败,文件上传失败
462,填写提示文字,填写提示文字
463,没有选择数据,没有选择数据
464,错误页面类型,错误页面类型
465,上传页面,上传页面
466,页面提示文字,页面提示文字
467,文件扩展名称,文件扩展名称
468,监控接口,监控接口
469,优先级,优先级
470,限制从0到255,限制从0到255
471,数据库配置同步,数据库配置同步
472,对端,对端
473,选中的接口没有设置IP地址,选中的接口没有设置IP地址
474,文件类型将不会被盗链,文件类型将不会被盗链
475,禁止的HTTP头字段设置,禁止的HTTP头字段设置
476,HTTP头字段,HTTP头字段
478,允许的HTTP协议版本设置,允许的HTTP协议版本设置
479,HTTP协议版本,HTTP协议版本
480,危害等级,危害等级
481,攻击类型,攻击类型
482,源IP地址,源IP地址
485,一般信息,一般信息
486,规则模板库更新失败,规则模板库更新失败
487,邮件报警,邮件报警
488,短信报警,短信报警
489,发送间隔,发送间隔
490,"报警发送间隔,单位:小时","报警发送间隔,单位:小时"
491,通知设置,通知设置
492,登录的帐号,登录的帐号
493,登录的密码,登录的密码
494,发送端口,发送端口
495,接收邮件的email,接收邮件的email
496,接收报警的手机号码,接收报警的手机号码
497,规则ID,规则ID
498,目标主机,目标主机
499,没有选择需要更新的数据,没有选择需要更新的数据
500,没有选择需要删除的数据,没有选择需要删除的数据
501,转黑名单,转黑名单
502,转白名单,转白名单
503,查询,查询
504,拦截,拦截
505,放行,放行
506,黑名单,黑名单
507,白名单,白名单
508,源,源
509,目标,目标
510,目标端口,目标端口
511,执行动作,执行动作
512,源端口,源端口
513,地理位置,地理位置
514,未知,未知
515,"该名单已存在,不需要添加","该名单已存在,不需要添加"
516,添加黑名单,添加黑名单
517,添加白名单,添加白名单
518,检测端口,检测端口
519,"点击""生成技术支持包""按钮,将生成可下载的技术支持包文件","点击""生成技术支持包""按钮,将生成可下载的技术支持包文件"
520,生成技术支持包,生成技术支持包
521,定时报表,定时报表
522,访问/流量报表,访问/流量报表
523,添加自定义规则,添加自定义规则
524,修改自定义规则,修改自定义规则
525,规则模板名称,规则模板名称
526,继承模板,继承模板
527,继承模板名称,继承模板名称
528,模板类型,模板类型
529,站点组模板,站点组模板
530,站点模板,站点模板
531,"选择了模板类型为站点模板,但没有选择所属站点组模板","选择了模板类型为站点模板,但没有选择所属站点组模板"
532,添加规则模板,添加规则模板
533,修改规则模板,修改规则模板
534,模板名称,模板名称
535,模板说明,模板说明
536,所属站点组模板,所属站点组模板
537,最大长度,最大长度
538,参数名称最大长度,参数名称最大长度
539,参数最大长度,参数最大长度
540,最大参数个数,最大参数个数
541,最大个数,最大个数
542,以上各项当填写数值为0时，则该项设置不生效,以上各项当填写数值为0时，则该项设置不生效
543,建议学习完毕后关闭,建议学习完毕后关闭
544,是否应用学习结果,是否应用学习结果
545,选择数据,选择数据
546,选中数据为空,选中数据为空
547,删除数据,删除数据
548,停用数据,停用数据
549,敏感词过滤,敏感词过滤
550,将对设置的敏感词以*号代替,将对设置的敏感词以*号代替
551,"词与词之间用""|""隔开","词与词之间用""|""隔开"
552,隐藏类型,隐藏类型
553,监控目标,监控目标
554,最近执行时间,最近执行时间
555,响应时间,响应时间
556,无数据,无数据
557,系统错误,系统错误
558,正常,正常
559,小时,小时
560,分钟,分钟
561,查看报告,查看报告
562,时间范围,时间范围
563,响应时间分布,响应时间分布
564,响应时间(毫秒),响应时间(毫秒)
565,监控目标URL状态,监控目标URL状态
566,智能阻断,智能阻断
567,定值300秒,定值300秒
568,不少于10次(单位:次),不少于10次(单位:次)
569,基准阻断时间,基准阻断时间
570,不少于600秒(单位:秒),不少于600秒(单位:秒)
571,攻击时间,攻击时间
572,阻断持续时间(单位:秒),阻断持续时间(单位:秒)
573,将对该类爬虫实施防护,将对该类爬虫实施防护
574,爬虫类型,爬虫类型
575,公司名称,公司名称
576,公司地址,公司地址
577,许可证文件,许可证文件
578,文件仅部分被上传,文件仅部分被上传
579,只允许上传,只允许上传
580,格式的文件,格式的文件
581,IP+子网掩码,IP+子网掩码
582,IP或IP段已存在,IP或IP段已存在
583,"ip地址不合法,例:192.168.1.1","ip地址不合法,例:192.168.1.1"
584,"ip和子网掩码不合法,例:192.168.1.0/24","ip和子网掩码不合法,例:192.168.1.0/24"
585,验证码错误,验证码错误
586,无此用户或禁止此用户登录,无此用户或禁止此用户登录
587,此用户禁止登录,此用户禁止登录
588,登录成功,登录成功
589,登录失败,登录失败
590,登录超时时间(分钟),登录超时时间(分钟)
591,登录尝试次数限制,登录尝试次数限制
592,登录错误锁定时间(分钟),登录错误锁定时间(分钟)
593,首页功能定制,首页功能定制
594,技术支持命令已发出,技术支持命令已发出
595,升级成功,升级成功
596,选择升级文件,选择升级文件
597,展开所有,展开所有
598,闭合所有,闭合所有
599,是否删除此菜单,是否删除此菜单
600,是否显示子菜单,是否显示子菜单
601,访问路径,访问路径
602,菜单名,菜单名
603,报告时间,报告时间
604,上传时间,上传时间
605,站点URL,站点URL
606,文件分析结果-展示,文件分析结果-展示
607,删除的数据为空,删除的数据为空
608,严重等级,严重等级
609,报告,报告
610,扫描,扫描
611,未扫描,未扫描
612,扫描中,扫描中
613,扫描失败,扫描失败
614,扫描地址,扫描地址
615,填写真实有效的扫描地址,填写真实有效的扫描地址
616,否则无法进行扫描,否则无法进行扫描
617,扫描结果不存在,扫描结果不存在
618,SSH开关设置,SSH开关设置
619,站点组,站点组
620,规则模板,规则模板
621,站点数量,站点数量
622,"所选站点组中,有对应的站点,不能删除","所选站点组中,有对应的站点,不能删除"
623,参数错误,参数错误
624,保存失败,保存失败
625,站点,站点
626,端口,端口
627,站点组名称,站点组名称
628,策略模板,策略模板
629,单独策略模板,单独策略模板
630,是否反向代理,是否反向代理
631,站点名错误,站点名错误
632,端口错误,端口错误
633,协议,协议
634,操作系统,操作系统
635,开发语言,开发语言
636,更新时间,更新时间
637,IP地址错误,IP地址错误
638,管道发送失败,管道发送失败
639,添加站点组,添加站点组
640,返回,返回
641,修改站点组,修改站点组
642,配置策略,配置策略
643,站点策略规则优先级高于站点组策略规则,站点策略规则优先级高于站点组策略规则
644,根节点,根节点
645,所属站点,所属站点
646,地址及端口,地址及端口
647,站点名称必须是IPV4地址或者是合法的域名,站点名称必须是IPV4地址或者是合法的域名
648,添加站点,添加站点
649,修改站点,修改站点
650,规则,规则
651,规则名称,规则名称
652,拦截方式,拦截方式
653,告警等级,告警等级
654,类别,类别
655,个规则集,个规则集
656,危害描述,危害描述
657,解决建议,解决建议
658,网络超时,网络超时
659,修改成功,修改成功
660,修改失败,修改失败
661,操作成功,操作成功
662,更新失败,更新失败
663,删除失败,删除失败
664,已完成,已完成
665,已停止,已停止
666,上传成功,上传成功
670,清除缓存,清除缓存
672,权限查看,权限查看
673,授权信息,授权信息
674,权限修改,权限修改
676,管理日志,管理日志
677,系统日志,系统日志
678,编译器上传,编译器上传
681,日志配置,日志配置
688,防火墙日志,防火墙日志
689,入侵防御日志,入侵防御日志
690,安全策略,安全策略
691,web应用防护日志,web应用防护日志
692,病毒防护日志,病毒防护日志
693,信息泄漏防护日志,信息泄漏防护日志
694,DDOS防护日志,DDOS防护日志
695,应用管控日志,应用管控日志
696,url访问日志,url访问日志
697,日志库,日志库
698,用户认证日志,用户认证日志
699,网中网检测日志,网中网检测日志
700,IpsecVPN日志,IpsecVPN日志
703,入侵防护,入侵防护
705,清空,清空
706,加入防误报,加入防误报
707,启动,启动
708,入侵数量统计(当月),入侵数量统计(当月)
709,入侵类别统计(当月),入侵类别统计(当月)
710,产品信息,产品信息
718,Bypass设置,Bypass设置
719,多语言,多语言
720,语言检测,语言检测
721,导出语言包,导出语言包
722,磁盘清理,磁盘清理
723,导入语言包,导入语言包
724,语言KEY,语言KEY
725,检查翻译字符唯一,检查翻译字符唯一
728,定期报表,定期报表
729,安全管理,安全管理
730,HTTP请求动作过滤,HTTP请求动作过滤
731,HTTP请求内容过滤,HTTP请求内容过滤
732,服务器信息隐藏,服务器信息隐藏
733,开启云防护,开启云防护
734,测试菜单(不开放)日志,测试菜单(不开放)日志
735,个人设置,个人设置
736,开发人员使用,开发人员使用
737,菜单权限管理,菜单权限管理
738,获取单个权限信息,获取单个权限信息
739,OCR拦截,OCR拦截
740,用户认证,用户认证
741,桥设备,桥设备
742,防火墙,防火墙
743,透明代理,透明代理
744,接入控制,接入控制
745,反向代理,反向代理
746,安全防护,安全防护
747,日志管理,日志管理
748,日志任务,日志任务
753,周期,周期
754,图片链接,图片链接
783,桥设备名称,桥设备名称
786,桥的类型,桥的类型
787,确定,确定
788,取消,取消
789,确认新密码,确认新密码
790,开启,开启
791,启用,启用
792,全部记录,全部记录
793,所有,所有
794,全选,全选
795,全不选,全不选
796,日期,日期
797,日志,日志
798,紧急,紧急
799,警报,警报
800,严重,严重
801,错误,错误
802,警告,警告
803,确认密码不一致,确认密码不一致
804,新密码不能为空,新密码不能为空
805,KB/秒,KB/秒
806,流量,流量
807,产品型号,产品型号
808,系统版本,系统版本
809,规则版本,规则版本
810,产品序列号,产品序列号
811,引擎设置,引擎设置
812,默认拦截方式设置,默认拦截方式设置
813,"检测端口设置:指定要检测的端口,如有多个请用|隔开,不能以0开头.如","检测端口设置:指定要检测的端口,如有多个请用|隔开,不能以0开头.如"
814,请在URL开始加上http://或https://,请在URL开始加上http://或https://
815,清除菜单栏目,清除菜单栏目
816,清除所有缓存,清除所有缓存
817,清除成功,清除成功
818,"启用后,来源IP地址的访问次数超过设定上限的.禁止该IP地址的任何后续访问","启用后,来源IP地址的访问次数超过设定上限的.禁止该IP地址的任何后续访问"
819,请求次数上限,请求次数上限
820,"启用后,来源IP对目的URI的访问次数超过设定上限的.禁止该IP地址的任何后续访问","启用后,来源IP对目的URI的访问次数超过设定上限的.禁止该IP地址的任何后续访问"
821,"每行一条URI,可输入多行并确保uri正确. 例: /test.php（不用输入参数部分）","每行一条URI,可输入多行并确保uri正确. 例: /test.php（不用输入参数部分）"
822,"请填写 ""来源IP防CC"" 的相关参数","请填写 ""来源IP防CC"" 的相关参数"
823,"请填写 ""特定URL防CC"" 的相关参数","请填写 ""特定URL防CC"" 的相关参数"
824,开启DDOS云防护,开启DDOS云防护
825,"其它TCP Flood触发阀值","其它TCP Flood触发阀值"
826,"其它TCP Flood阀值/单IP","其它TCP Flood阀值/单IP"
827,"禁止所有UDP协议的通信. (启用后所有使用UDP协议的通信将被禁止,包括使用UDP协议的DNS解释服务","禁止所有UDP协议的通信. (启用后所有使用UDP协议的通信将被禁止,包括使用UDP协议的DNS解释服务"
828,"禁止所有ICMP协议的通信. (启用后所有使用ICMP协议的通信将被禁止,包括使用ICMP协议的PING请求","禁止所有ICMP协议的通信. (启用后所有使用ICMP协议的通信将被禁止,包括使用ICMP协议的PING请求"
829,"以上所有项请填写大于0的正整数,各项阀值建议不小于","以上所有项请填写大于0的正整数,各项阀值建议不小于"
830,网络流量请填写1-1024以内的数值,网络流量请填写1-1024以内的数值
831,DDOS攻击,DDOS攻击
832,恢复默认配置,恢复默认配置
833,"点击""恢复默认配置""按钮,恢复本设备默认配置","点击""恢复默认配置""按钮,恢复本设备默认配置"
834,配置文件导入,配置文件导入
835,"选择备份文件,点击“导入配置”按钮恢复之前的配置","选择备份文件,点击“导入配置”按钮恢复之前的配置"
836,导入配置,导入配置
837,"点击""导出配置""按钮备份当前数据库配置","点击""导出配置""按钮备份当前数据库配置"
838,"正在配置文件,请等待1-2分钟","正在配置文件,请等待1-2分钟"
839,系统友情提示,系统友情提示
840,"恢复默认配置后系统将重启,确认","恢复默认配置后系统将重启,确认"
841,正在配置文件，请等待1-2分钟...,正在配置文件，请等待1-2分钟...
842,恢复默认配置后系统将重启,恢复默认配置后系统将重启
843,磁盘自动清理参数设置,磁盘自动清理参数设置
844,是否开启自动清理,是否开启自动清理
845,超过设置百分比数值时将自动清除日志,超过设置百分比数值时将自动清除日志
846,请先停用再修改,请先停用再修改
847,无法获取上传文件信息,无法获取上传文件信息
848,确认文件可用,确认文件可用
849,删除前先停用,删除前先停用
850,禁止请求的文件扩展名设置,禁止请求的文件扩展名设置
851,请求的文件扩展名类型将被禁止,请求的文件扩展名类型将被禁止
852,VIP启用,VIP启用
853,是否开启,是否开启
854,桥接口,桥接口
855,允许HTTP请求内容,允许HTTP请求内容
856,请求内容以外的将被拒绝,请求内容以外的将被拒绝
857,HTTP请求内容,HTTP请求内容
858,HTTP请求动作设置,HTTP请求动作设置
859,HTTP请求动作,HTTP请求动作
860,启用后,启用后
861,该HTTP请求动作将被允许,该HTTP请求动作将被允许
862,请求的HTTP头字段将被禁止,请求的HTTP头字段将被禁止
863,以上所有项请填写大于0，小于2147483647的正整数,以上所有项请填写大于0，小于2147483647的正整数
864,请求的HTTP协议版本将被允许,请求的HTTP协议版本将被允许
866,入侵日志,入侵日志
867,匹配内容,匹配内容
868,规则模板库找不到默认模板,规则模板库找不到默认模板
869,"所对应的站点不存在,请在""站点组管理""增加站点","所对应的站点不存在,请在""站点组管理""增加站点"
870,开启入侵记录的E-mail功能,开启入侵记录的E-mail功能
871,开启入侵记录的短信报警功能,开启入侵记录的短信报警功能
872,发件人名称,发件人名称
873,发件人邮箱,发件人邮箱
874,"以该名称发送,格式为EMAIL(可以和发件人邮箱相同)","以该名称发送,格式为EMAIL(可以和发件人邮箱相同)"
875,发件人密码,发件人密码
876,SMTP服务器地址,SMTP服务器地址
877,发送服务器,发送服务器
878,SMTP服务器端口,SMTP服务器端口
879,收件人邮箱,收件人邮箱
880,收件人手机号码,收件人手机号码
881,"以上信息非常重要,请确保所填信息均无错误,否则无法发送/接收邮件、短信","以上信息非常重要,请确保所填信息均无错误,否则无法发送/接收邮件、短信"
882,是否启用,是否启用
884,精确查询,精确查询
885,如,如
886,非法外联日志,非法外联日志
888,"提示:将根据当前的条件导出日志,最多导出最新的20000条记录","提示:将根据当前的条件导出日志,最多导出最新的20000条记录"
889,"指定要检测的端口,如有多个请用|隔开,不能以0开头. 如","指定要检测的端口,如有多个请用|隔开,不能以0开头. 如"
890,"技术支持包是为了方便厂家排除系统故障的手段,当系统出现问题的时候,请生成技术支持包,并发送给我们","技术支持包是为了方便厂家排除系统故障的手段,当系统出现问题的时候,请生成技术支持包,并发送给我们"
891,正在压缩技术支持包文件，请等待1-2分钟,正在压缩技术支持包文件，请等待1-2分钟
892,"超出限制,请联系技术员解决","超出限制,请联系技术员解决"
893,站点组启用,站点组启用
894,内容最大长度,内容最大长度
895,启用自学习,启用自学习
896,启用访问白名单,启用访问白名单
897,是否启用自学习,是否启用自学习
898,是否启用访问白名单,是否启用访问白名单
899,启用数据,启用数据
900,敏感词内容,敏感词内容
901,隐藏服务器信息,隐藏服务器信息
902,监控频率,监控频率
903,"请填写真实有效的监控地址,否则无法进行扫描","请填写真实有效的监控地址,否则无法进行扫描"
904,定时监控频率,定时监控频率
905,"开启智能阻断(启用后,系统将根据设定条件,识别频繁攻击的来源IP地址,在一段时间内拒绝该IP地址的访问.)","开启智能阻断(启用后,系统将根据设定条件,识别频繁攻击的来源IP地址,在一段时间内拒绝该IP地址的访问.)"
906,统计周期,统计周期
907,入侵次数,入侵次数
908,以上各项请按需求填写,以上各项请按需求填写
909,智能阻断日志,智能阻断日志
910,授权序列号,授权序列号
911,有效期,有效期
912,选择有效期内的许可证文件,选择有效期内的许可证文件
913,文件大小超出服务器空间大小,文件大小超出服务器空间大小
914,文件大小超出浏览器限制,文件大小超出浏览器限制
915,服务器临时文件夹丢失,服务器临时文件夹丢失
916,文件写入到临时文件夹出错,文件写入到临时文件夹出错
917,请耐心等待授权认证,请耐心等待授权认证
918,不启用黑白名单,不启用黑白名单
919,启用白名单,启用白名单
920,启用黑名单,启用黑名单
921,IP区间,IP区间
922,"ip区间不合法,例:192.168.1.1-192.168.255.254","ip区间不合法,例:192.168.1.1-192.168.255.254"
924,"当前账号错误登录次数 %s,锁定剩余%s秒","当前账号错误登录次数 %s,锁定剩余%s秒"
925,正常访问,正常访问
926,来自爬虫,来自爬虫
927,来自威胁,来自威胁
928,浏览数,浏览数
929,访问人数,访问人数
930,页面数,页面数
931,文件数,文件数
932,访问来源,访问来源
933,实时流量,实时流量
934,系统资源占用,系统资源占用
935,选择时间,选择时间
936,实时监控,实时监控
937,历史数据查询,历史数据查询
938,连接数,连接数
939,处理数,处理数
940,时间参数不正确,时间参数不正确
941,清空操作将对目前查询条件所列数据进行清空,清空操作将对目前查询条件所列数据进行清空
942,清空后将不能恢复,清空后将不能恢复
943,不能没有清空条件,不能没有清空条件
944,异常文件上传日志,异常文件上传日志
945,任务名称,任务名称
946,已有任务正在进行中,已有任务正在进行中
947,等待任务完成再添加新任务,等待任务完成再添加新任务
948,删除前先停止任务,删除前先停止任务
949,服务器数量,服务器数量
950,WEB服务器,WEB服务器
951,入库失败,入库失败
952,写入失败,写入失败
953,IP地址、端口不能为空,IP地址、端口不能为空
954,添加服务器,添加服务器
955,输入名称,输入名称
956,输入,输入
957,权限不足,权限不足
958,请求失败,请求失败
959,确认要删除吗,确认要删除吗
960,必须输入大于0的整数,必须输入大于0的整数
961,请选择升级文件,请选择升级文件
962,只能输入整数,只能输入整数
963,不能输入大于%s的整数,不能输入大于%s的整数
964,不能输入小于%s的整数,不能输入小于%s的整数
965,只能输入%s~%s间的整数,只能输入%s~%s间的整数
966,"只能输入数字,可为正负整数或正负浮点数","只能输入数字,可为正负整数或正负浮点数"
967,不能输入大于%s的数字,不能输入大于%s的数字
968,不能输入小于%s的数字,不能输入小于%s的数字
969,只能输入%s~%s间的数字,只能输入%s~%s间的数字
970,"只能输入数字,可为正负整数或正负浮点数(双精度浮点型)","只能输入数字,可为正负整数或正负浮点数(双精度浮点型)"
971,email格式错误,email格式错误
972,此项必填,此项必填
973,只能输入字符型数据,只能输入字符型数据
974,输入字符数不能大于%s,输入字符数不能大于%s
975,输入字符数不能小于%s,输入字符数不能小于%s
976,限制输入字符数为%s~%s,限制输入字符数为%s~%s
977,此项必须唯一,此项必须唯一
978,URL地址错误,URL地址错误
979,CC攻击,CC攻击
982,通用攻击,通用攻击
983,信息泄漏,信息泄漏
984,其他攻击,其他攻击
985,溢出攻击,溢出攻击
986,HTTP保护,HTTP保护
987,SQL注入,SQL注入
988,木马病毒,木马病毒
990,跨站脚本,跨站脚本
993,系统工具,系统工具
994,WEB控制配置,WEB控制配置
995,SNMP,SNMP
996,网络测试,网络测试
997,系统时间,系统时间
998,抓包工具,抓包工具
